Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings.Source,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Harry Potter and the Sorcerer's Stone,2001,PG,16 Nov 2001,152 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Richard Harris","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 17 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMzkyZGFlOWQtZjFlMi00N2YwLWE2OWQtYTgxY2NkNmM1NjMwXkEyXkFqcGdeQXVyNjY1NTM1MzA@._V1_SX300.jpg,Internet Movie Database,7.6/10,65,7.6,"760,646",tt0241527,movie,28 May 2002,"$318,886,962",N/A,N/A,True
Harry Potter and the Sorcerer's Stone,2001,PG,16 Nov 2001,152 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Richard Harris","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 17 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMzkyZGFlOWQtZjFlMi00N2YwLWE2OWQtYTgxY2NkNmM1NjMwXkEyXkFqcGdeQXVyNjY1NTM1MzA@._V1_SX300.jpg,Rotten Tomatoes,81%,65,7.6,"760,646",tt0241527,movie,28 May 2002,"$318,886,962",N/A,N/A,True
Harry Potter and the Sorcerer's Stone,2001,PG,16 Nov 2001,152 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Richard Harris","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 17 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMzkyZGFlOWQtZjFlMi00N2YwLWE2OWQtYTgxY2NkNmM1NjMwXkEyXkFqcGdeQXVyNjY1NTM1MzA@._V1_SX300.jpg,Metacritic,65/100,65,7.6,"760,646",tt0241527,movie,28 May 2002,"$318,886,962",N/A,N/A,True
Harry Potter and the Chamber of Secrets,2002,PG,15 Nov 2002,161 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,"English, Latin","United Kingdom, United States",Won 1 BAFTA Award13 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX300.jpg,Internet Movie Database,7.4/10,63,7.4,"621,760",tt0295297,movie,11 Apr 2003,"$262,641,637",N/A,N/A,True
Harry Potter and the Chamber of Secrets,2002,PG,15 Nov 2002,161 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,"English, Latin","United Kingdom, United States",Won 1 BAFTA Award13 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX300.jpg,Rotten Tomatoes,82%,63,7.4,"621,760",tt0295297,movie,11 Apr 2003,"$262,641,637",N/A,N/A,True
Harry Potter and the Chamber of Secrets,2002,PG,15 Nov 2002,161 min,"Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,"English, Latin","United Kingdom, United States",Won 1 BAFTA Award13 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX300.jpg,Metacritic,63/100,63,7.4,"621,760",tt0295297,movie,11 Apr 2003,"$262,641,637",N/A,N/A,True
Harry Potter and the Prisoner of Azkaban,2004,PG,04 Jun 2004,142 min,"Adventure, Family, Fantasy",Alfonso Cuarón,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","English, Latin, Old English","United Kingdom, United States",Nominated for 2 Oscars. 17 wins & 53 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,Internet Movie Database,7.9/10,82,7.9,"620,963",tt0304141,movie,23 Nov 2004,"$250,105,651",N/A,N/A,True
Harry Potter and the Prisoner of Azkaban,2004,PG,04 Jun 2004,142 min,"Adventure, Family, Fantasy",Alfonso Cuarón,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","English, Latin, Old English","United Kingdom, United States",Nominated for 2 Oscars. 17 wins & 53 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,Rotten Tomatoes,90%,82,7.9,"620,963",tt0304141,movie,23 Nov 2004,"$250,105,651",N/A,N/A,True
Harry Potter and the Prisoner of Azkaban,2004,PG,04 Jun 2004,142 min,"Adventure, Family, Fantasy",Alfonso Cuarón,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","English, Latin, Old English","United Kingdom, United States",Nominated for 2 Oscars. 17 wins & 53 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,Metacritic,82/100,82,7.9,"620,963",tt0304141,movie,23 Nov 2004,"$250,105,651",N/A,N/A,True
Harry Potter and the Goblet of Fire,2005,PG-13,18 Nov 2005,157 min,"Adventure, Family, Fantasy",Mike Newell,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","English, French, Latin","United Kingdom, United States",Nominated for 1 Oscar. 13 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,Internet Movie Database,7.7/10,81,7.7,"614,010",tt0330373,movie,07 Mar 2006,"$290,469,928",N/A,N/A,True
Harry Potter and the Goblet of Fire,2005,PG-13,18 Nov 2005,157 min,"Adventure, Family, Fantasy",Mike Newell,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","English, French, Latin","United Kingdom, United States",Nominated for 1 Oscar. 13 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,Rotten Tomatoes,88%,81,7.7,"614,010",tt0330373,movie,07 Mar 2006,"$290,469,928",N/A,N/A,True
Harry Potter and the Goblet of Fire,2005,PG-13,18 Nov 2005,157 min,"Adventure, Family, Fantasy",Mike Newell,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","English, French, Latin","United Kingdom, United States",Nominated for 1 Oscar. 13 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,Metacritic,81/100,81,7.7,"614,010",tt0330373,movie,07 Mar 2006,"$290,469,928",N/A,N/A,True
Harry Potter and the Order of the Phoenix,2007,PG-13,11 Jul 2007,138 min,"Action, Adventure, Family",David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 2 BAFTA 17 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_SX300.jpg,Internet Movie Database,7.5/10,71,7.5,"568,016",tt0373889,movie,11 Dec 2007,"$292,382,727",N/A,N/A,True
Harry Potter and the Order of the Phoenix,2007,PG-13,11 Jul 2007,138 min,"Action, Adventure, Family",David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 2 BAFTA 17 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_SX300.jpg,Rotten Tomatoes,77%,71,7.5,"568,016",tt0373889,movie,11 Dec 2007,"$292,382,727",N/A,N/A,True
Harry Potter and the Order of the Phoenix,2007,PG-13,11 Jul 2007,138 min,"Action, Adventure, Family",David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 2 BAFTA 17 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_SX300.jpg,Metacritic,71/100,71,7.5,"568,016",tt0373889,movie,11 Dec 2007,"$292,382,727",N/A,N/A,True
Harry Potter and the Half-Blood Prince,2009,PG,15 Jul 2009,153 min,"Action, Adventure, Family",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","English, Latin","United Kingdom, United States",Nominated for 1 Oscar. 9 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Internet Movie Database,7.6/10,78,7.6,"531,930",tt0417741,movie,08 Dec 2009,"$302,334,374",N/A,N/A,True
Harry Potter and the Half-Blood Prince,2009,PG,15 Jul 2009,153 min,"Action, Adventure, Family",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","English, Latin","United Kingdom, United States",Nominated for 1 Oscar. 9 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Rotten Tomatoes,84%,78,7.6,"531,930",tt0417741,movie,08 Dec 2009,"$302,334,374",N/A,N/A,True
Harry Potter and the Half-Blood Prince,2009,PG,15 Jul 2009,153 min,"Action, Adventure, Family",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","English, Latin","United Kingdom, United States",Nominated for 1 Oscar. 9 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Metacritic,78/100,78,7.6,"531,930",tt0417741,movie,08 Dec 2009,"$302,334,374",N/A,N/A,True
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,19 Nov 2010,146 min,"Adventure, Family, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","English, Latin","United Kingdom, United States",Nominated for 2 Oscars. 15 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Internet Movie Database,7.7/10,65,7.7,"537,584",tt0926084,movie,08 Dec 2009,"$296,374,621",N/A,N/A,True
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,19 Nov 2010,146 min,"Adventure, Family, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","English, Latin","United Kingdom, United States",Nominated for 2 Oscars. 15 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Rotten Tomatoes,77%,65,7.7,"537,584",tt0926084,movie,08 Dec 2009,"$296,374,621",N/A,N/A,True
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,19 Nov 2010,146 min,"Adventure, Family, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","English, Latin","United Kingdom, United States",Nominated for 2 Oscars. 15 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Metacritic,65/100,65,7.7,"537,584",tt0926084,movie,08 Dec 2009,"$296,374,621",N/A,N/A,True
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,"Adventure, Fantasy, Mystery",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 46 wins & 94 nominations total,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Internet Movie Database,8.1/10,85,8.1,"856,491",tt1201607,movie,11 Nov 2011,"$381,447,587",N/A,N/A,True
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,"Adventure, Fantasy, Mystery",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 46 wins & 94 nominations total,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Rotten Tomatoes,96%,85,8.1,"856,491",tt1201607,movie,11 Nov 2011,"$381,447,587",N/A,N/A,True
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,"Adventure, Fantasy, Mystery",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","English, Latin","United Kingdom, United States",Nominated for 3 Oscars. 46 wins & 94 nominations total,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Metacritic,85/100,85,8.1,"856,491",tt1201607,movie,11 Nov 2011,"$381,447,587",N/A,N/A,True
Rear Window,1954,PG,01 Sep 1954,112 min,"Mystery, Thriller",Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",English,United States,Nominated for 4 Oscars. 6 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.5/10,100,8.5,"483,863",tt0047396,movie,07 Sep 2004,"$36,764,313",N/A,N/A,True
Rear Window,1954,PG,01 Sep 1954,112 min,"Mystery, Thriller",Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",English,United States,Nominated for 4 Oscars. 6 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Rotten Tomatoes,98%,100,8.5,"483,863",tt0047396,movie,07 Sep 2004,"$36,764,313",N/A,N/A,True
Rear Window,1954,PG,01 Sep 1954,112 min,"Mystery, Thriller",Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",English,United States,Nominated for 4 Oscars. 6 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Metacritic,100/100,100,8.5,"483,863",tt0047396,movie,07 Sep 2004,"$36,764,313",N/A,N/A,True
Dial M for Murder,1954,PG,29 May 1954,105 min,"Crime, Thriller",Alfred Hitchcock,Frederick Knott,"Ray Milland, Grace Kelly, Robert Cummings",A former tennis star arranges the murder of his adulterous wife.,English,United States,Nominated for 1 BAFTA Award5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Internet Movie Database,8.2/10,75,8.2,"173,932",tt0046912,movie,29 Aug 2006,"$24,845",N/A,N/A,True
Dial M for Murder,1954,PG,29 May 1954,105 min,"Crime, Thriller",Alfred Hitchcock,Frederick Knott,"Ray Milland, Grace Kelly, Robert Cummings",A former tennis star arranges the murder of his adulterous wife.,English,United States,Nominated for 1 BAFTA Award5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Rotten Tomatoes,89%,75,8.2,"173,932",tt0046912,movie,29 Aug 2006,"$24,845",N/A,N/A,True
Dial M for Murder,1954,PG,29 May 1954,105 min,"Crime, Thriller",Alfred Hitchcock,Frederick Knott,"Ray Milland, Grace Kelly, Robert Cummings",A former tennis star arranges the murder of his adulterous wife.,English,United States,Nominated for 1 BAFTA Award5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Metacritic,75/100,75,8.2,"173,932",tt0046912,movie,29 Aug 2006,"$24,845",N/A,N/A,True
Mrs. Miniver,1942,Not Rated,01 Dec 1942,134 min,"Drama, Romance, War",William Wyler,"Arthur Wimperis, George Froeschel, James Hilton","Greer Garson, Walter Pidgeon, Teresa Wright",A British family struggles to survive the first months of World War II.,"English, German",United States,Won 6 Oscars. 10 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BY2UxNjcwYmQtODc1NC00ZjQ1LTk4NDctZTE0NjhlMjNlOTEyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Internet Movie Database,7.6/10,N/A,7.6,"17,714",tt0035093,movie,03 Feb 2004,N/A,N/A,N/A,True
Mrs. Miniver,1942,Not Rated,01 Dec 1942,134 min,"Drama, Romance, War",William Wyler,"Arthur Wimperis, George Froeschel, James Hilton","Greer Garson, Walter Pidgeon, Teresa Wright",A British family struggles to survive the first months of World War II.,"English, German",United States,Won 6 Oscars. 10 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BY2UxNjcwYmQtODc1NC00ZjQ1LTk4NDctZTE0NjhlMjNlOTEyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Rotten Tomatoes,95%,N/A,7.6,"17,714",tt0035093,movie,03 Feb 2004,N/A,N/A,N/A,True
"Now, Voyager",1942,Passed,31 Oct 1942,117 min,"Drama, Romance",Irving Rapper,"Casey Robinson, Olive Higgins Prouty","Bette Davis, Paul Henreid, Claude Rains","A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.","English, Portuguese",United States,Won 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZDQ2YWUxOTctYWNjMi00NzE3LTg4MjUtMzUyNzA0OTJjZjNjXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Internet Movie Database,7.9/10,70,7.9,"17,008",tt0035140,movie,01 Mar 2005,N/A,N/A,N/A,True
"Now, Voyager",1942,Passed,31 Oct 1942,117 min,"Drama, Romance",Irving Rapper,"Casey Robinson, Olive Higgins Prouty","Bette Davis, Paul Henreid, Claude Rains","A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.","English, Portuguese",United States,Won 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZDQ2YWUxOTctYWNjMi00NzE3LTg4MjUtMzUyNzA0OTJjZjNjXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Rotten Tomatoes,91%,70,7.9,"17,008",tt0035140,movie,01 Mar 2005,N/A,N/A,N/A,True
"Now, Voyager",1942,Passed,31 Oct 1942,117 min,"Drama, Romance",Irving Rapper,"Casey Robinson, Olive Higgins Prouty","Bette Davis, Paul Henreid, Claude Rains","A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.","English, Portuguese",United States,Won 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZDQ2YWUxOTctYWNjMi00NzE3LTg4MjUtMzUyNzA0OTJjZjNjXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Metacritic,70/100,70,7.9,"17,008",tt0035140,movie,01 Mar 2005,N/A,N/A,N/A,True
